A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,   ,eee,B,C, ,11,49, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-5805278.48,0.0,0.0,0.0,0.0,-12755647.19,0.0,4730527.65,4300479.32,4730527.65,-12041794.04
G,S,   ,eee,B,C, ,11,49, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-5805278.48,0.0,0.0,0.0,0.0,-12755647.19,0.0,4730527.65,4300479.32,4730527.65,-12041794.04
G,S,   ,eee,B,H, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-68.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-68.18
G,S,   ,eee,B,H, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-68.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-68.18
G,S,   ,eee,T, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-253.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-253.32
G,S,   ,eee,T, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-253.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-253.32
G,S,   ,eee,B,C, ,6,20, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-7983763.52,0.0,0.0,0.0,0.0,-14553005.49,0.0,3902482.8,3902482.8,3902482.8,-8637272.81
G,S,   ,eee,B,C, ,6,20, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-7983763.52,0.0,0.0,0.0,0.0,-14553005.49,0.0,3902482.8,3902482.8,3902482.8,-8637272.81
G,S,   ,eee,B,C, ,5,98, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-2839402.89,0.0,0.0,125873.75,-315742.05,-8707393.95,0.0,4103460.6,3643342.65,4103460.6,-7031867.34
G,S,   ,eee,B,C, ,5,98, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-2839402.89,0.0,0.0,125873.75,-315742.05,-8707393.95,0.0,4103460.6,3643342.65,4103460.6,-7031867.34
G,S,   ,eee,B,C, ,10,98, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-7205194.03,0.0,0.0,0.0,0.0,-32852662.24,0.0,6259201.16,5150769.82,6259201.16,-16008308.48
G,S,   ,eee,B,C, ,10,98, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-7205194.03,0.0,0.0,0.0,0.0,-32852662.24,0.0,6259201.16,5150769.82,6259201.16,-16008308.48
G,S,   ,eee,B,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-9986891.67,9986891.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99868.92
G,S,   ,eee,B,C, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-9986891.67,9986891.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99868.92
G,S,   ,eee,B,H, ,18,95, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-977520.59,0.0,0.0,173475.0,-11175.0,-1034301.84,0.0,281330.0,241000.0,281330.0,-1034301.84
G,S,   ,eee,B,H, ,18,95, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-977520.59,0.0,0.0,173475.0,-11175.0,-1034301.84,0.0,281330.0,241000.0,281330.0,-1034301.84
G,S,   ,eee,D,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,0.93,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.93
G,S,   ,eee,D,C, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,0.93,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.93
G,S,   ,eee,B,C, ,18,99, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-359896.71,0.0,0.0,0.0,0.0,-1242763.19,0.0,248237.0,248237.0,248237.0,-740811.21
G,S,   ,eee,B,C, ,18,99, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-359896.71,0.0,0.0,0.0,0.0,-1242763.19,0.0,248237.0,248237.0,248237.0,-740811.21
G,S,   ,eee,T,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-2961531.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2961531.37
G,S,   ,eee,T,C, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-2961531.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2961531.37
G,S,   ,eee,T, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-2961531.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2961531.37
G,S,   ,eee,T, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-2961531.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2961531.37
G,S,   ,eee,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,108.98,0.0,0.0,0.0,0.0,0.0,108.98,0.0,0.0,0.0,108.98
