A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,176,eee,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,85933.75,0.0,0.0,15168.75,-637.5,0.0,54646.0,42002.75,42002.75,42002.75,54646.0
G,S,176,eee,R,C, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,85933.75,0.0,0.0,15168.75,-637.5,0.0,54646.0,42002.75,42002.75,42002.75,54646.0
G,S,176,eee,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,231581.5,0.0,0.0,218.75,0.0,0.0,146225.25,64356.25,64356.25,64356.25,146225.25
G,S,176,eee,R,C, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,231581.5,0.0,0.0,218.75,0.0,0.0,146225.25,64356.25,64356.25,64356.25,146225.25
G,S,176,eee,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,8442.0,0.0,0.0,10475.0,0.0,0.0,8442.0,0.0,0.0,0.0,8442.0
G,S,176,eee,R,C, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,8442.0,0.0,0.0,10475.0,0.0,0.0,8442.0,0.0,0.0,0.0,8442.0
G,S,176,eee,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,101551.55,0.0,0.0,721.25,-15040.0,0.0,43500.8,58050.75,58050.75,58050.75,43500.8
G,S,176,eee,R,C, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,101551.55,0.0,0.0,721.25,-15040.0,0.0,43500.8,58050.75,58050.75,58050.75,43500.8
G,S,176,eee,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,4.5,0.0,0.0,6981.25,0.0,0.0,4.5,0.0,0.0,0.0,4.5
G,S,176,eee,R,C, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,4.5,0.0,0.0,6981.25,0.0,0.0,4.5,0.0,0.0,0.0,4.5
G,S,176,eee,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,8400.0,0.0,0.0,181.25,0.0,0.0,8400.0,0.0,0.0,0.0,8400.0
G,S,176,eee,R,C, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,8400.0,0.0,0.0,181.25,0.0,0.0,8400.0,0.0,0.0,0.0,8400.0
G,S,176,eee,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,301140.17,0.0,0.0,109420.0,-74140.0,0.0,223787.17,44593.0,44593.0,44593.0,223787.17
