A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,228,ccc,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,137.02,0.0,0.0,2.5,0.0,0.0,137.02,0.0,0.0,0.0,137.02
G,S,228,ccc,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,137.02,0.0,0.0,2.5,0.0,0.0,137.02,0.0,0.0,0.0,137.02
G,S,228,ccc,C, , ,3,3, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,7242.97,0.0,0.0,3536.25,-880.0,-4394.78,0.0,10867.75,10867.75,10867.75,-4394.78
G,S,228,ccc,C, , ,3,3, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,7242.97,0.0,0.0,3536.25,-880.0,-4394.78,0.0,10867.75,10867.75,10867.75,-4394.78
G,S,228,ccc,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,19548.73,0.0,0.0,662.5,0.0,0.0,11633.23,8027.5,7267.5,8027.5,11633.23
G,S,228,ccc,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,19548.73,0.0,0.0,662.5,0.0,0.0,11633.23,8027.5,7267.5,8027.5,11633.23
G,S,228,ccc,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,1092.81,0.0,0.0,0.0,0.0,0.0,1092.81,0.0,0.0,0.0,1092.81
G,S,228,ccc,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,1092.81,0.0,0.0,0.0,0.0,0.0,1092.81,0.0,0.0,0.0,1092.81
G,S,228,ccc,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,1248.35,0.0,0.0,0.0,0.0,0.0,1248.35,0.0,0.0,0.0,1248.35
G,S,228,ccc,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,1248.35,0.0,0.0,0.0,0.0,0.0,1248.35,0.0,0.0,0.0,1248.35
G,S,228,ccc,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,7.88,0.0,0.0,0.0,0.0,0.0,7.88,0.0,0.0,0.0,7.88
G,S,228,ccc,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,7.88,0.0,0.0,0.0,0.0,0.0,7.88,0.0,0.0,0.0,7.88
G,S,228,ccc,C, , ,0,0, ,7, , ,TW,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,86783.94,0.0,0.0,0.0,0.0,0.0,86783.94,0.0,0.0,0.0,86783.94
G,S,228,ccc,C, , ,0,0, ,0, , ,TW,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,86783.94,0.0,0.0,0.0,0.0,0.0,86783.94,0.0,0.0,0.0,86783.94
M,S,228,ccc,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,137.02,0.0,0.0,2.5,0.0,0.0,137.02,0.0,0.0,0.0,137.02
M,S,228,ccc,C, , ,3,3, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,7242.97,0.0,0.0,3536.25,-880.0,-4394.78,0.0,10867.75,10867.75,10867.75,-4394.78
M,S,228,ccc,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,19548.73,0.0,0.0,662.5,0.0,0.0,11633.23,8027.5,7267.5,8027.5,11633.23
M,S,228,ccc,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,1092.81,0.0,0.0,0.0,0.0,0.0,1092.81,0.0,0.0,0.0,1092.81
M,S,228,ccc,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,1248.35,0.0,0.0,0.0,0.0,0.0,1248.35,0.0,0.0,0.0,1248.35
M,S,228,ccc,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,7.88,0.0,0.0,0.0,0.0,0.0,7.88,0.0,0.0,0.0,7.88
M,S,228,ccc,C, , ,0,0, ,7, , ,TW,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,86783.94,0.0,0.0,0.0,0.0,0.0,86783.94,0.0,0.0,0.0,86783.94
