A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,651,bbb,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,652.12,0.0,0.0,0.0,0.0,0.0,652.12,0.0,0.0,0.0,652.12
G,S,651,bbb,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,652.12,0.0,0.0,0.0,0.0,0.0,652.12,0.0,0.0,0.0,652.12
G,S,651,bbb,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,1307.8,0.0,0.0,0.0,0.0,0.0,1307.8,0.0,0.0,0.0,1307.8
G,S,651,bbb,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,1307.8,0.0,0.0,0.0,0.0,0.0,1307.8,0.0,0.0,0.0,1307.8
G,S,651,bbb,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,4.56,0.0,0.0,0.0,0.0,0.0,4.56,0.0,0.0,0.0,4.56
G,S,651,bbb,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,4.56,0.0,0.0,0.0,0.0,0.0,4.56,0.0,0.0,0.0,4.56
G,S,651,bbb,C, , ,6,5, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,197185.39,0.0,0.0,268670.0,-236738.75,-50666.86,0.0,242634.75,242634.75,242634.75,-50666.86
M,S,651,bbb,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,652.12,0.0,0.0,0.0,0.0,0.0,652.12,0.0,0.0,0.0,652.12
M,S,651,bbb,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,1307.8,0.0,0.0,0.0,0.0,0.0,1307.8,0.0,0.0,0.0,1307.8
M,S,651,bbb,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,4.56,0.0,0.0,0.0,0.0,0.0,4.56,0.0,0.0,0.0,4.56
