A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,651,ddd,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,714.16,0.0,0.0,0.0,0.0,0.0,714.16,0.0,0.0,0.0,714.16
G,S,651,ddd,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,714.16,0.0,0.0,0.0,0.0,0.0,714.16,0.0,0.0,0.0,714.16
G,S,651,ddd,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,18887.72,0.0,0.0,0.0,0.0,0.0,7157.72,10010.0,9100.0,10010.0,7157.72
G,S,651,ddd,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,18887.72,0.0,0.0,0.0,0.0,0.0,7157.72,10010.0,9100.0,10010.0,7157.72
G,S,651,ddd,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,55092.93,0.0,0.0,0.0,0.0,0.0,2452.93,52000.0,52000.0,52000.0,2452.93
G,S,651,ddd,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,55092.93,0.0,0.0,0.0,0.0,0.0,2452.93,52000.0,52000.0,52000.0,2452.93
G,S,651,ddd,C, , ,2,2, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,28480.83,0.0,0.0,0.0,0.0,-44579.17,0.0,53000.0,53000.0,53000.0,-44579.17
G,S,651,ddd,C, , ,2,2, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,28480.83,0.0,0.0,0.0,0.0,-44579.17,0.0,53000.0,53000.0,53000.0,-44579.17
G,S,651,ddd,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,12385.52,0.0,0.0,0.0,0.0,0.0,3035.52,7920.0,7200.0,7920.0,3035.52
G,S,651,ddd,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,12385.52,0.0,0.0,0.0,0.0,0.0,3035.52,7920.0,7200.0,7920.0,3035.52
G,S,651,ddd,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,84.7,0.0,0.0,193.75,0.0,0.0,84.7,0.0,0.0,0.0,84.7
G,S,651,ddd,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,84.7,0.0,0.0,193.75,0.0,0.0,84.7,0.0,0.0,0.0,84.7
