A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,BBB,eee,G, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
G,S,BBB,eee,G, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
G,S,BBB,eee,G, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
G,S,BBB,eee,G, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,S,BBB,eee,G, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,S,BBB,eee,G, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,0.08,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.08
G,S,BBB,eee,G, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,0.08,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.08
G,S,BBB,eee,G, , ,0,0, ,8, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,S,BBB,eee,G, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
M,S,BBB,eee,G, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,S,BBB,eee,G, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,0.08,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.08
