A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,CCC,10001,C, , ,0,0, ,7, , ,VI,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-21201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21201.0
G,S,CCC,10001,C, , ,0,0, ,0, , ,VI,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-21201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21201.0
G,S,CCC,10001,C, , ,0,0, ,7, , ,MX,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,399.68,0.0,0.0,2760.0,0.0,0.0,399.68,0.0,0.0,0.0,399.68
G,S,CCC,10001,C, , ,0,0, ,0, , ,MX,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,399.68,0.0,0.0,2760.0,0.0,0.0,399.68,0.0,0.0,0.0,399.68
G,S,CCC,10001,T, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,32302.37,0.0,0.0,0.0,0.0,0.0,32302.37,0.0,0.0,0.0,32302.37
G,S,CCC,10001,T, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,32302.37,0.0,0.0,0.0,0.0,0.0,32302.37,0.0,0.0,0.0,32302.37
M,S,CCC,10001,C, , ,0,0, ,7, , ,VI,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-21201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21201.0
M,S,CCC,10001,C, , ,0,0, ,7, , ,MX,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,399.68,0.0,0.0,2760.0,0.0,0.0,399.68,0.0,0.0,0.0,399.68
M,S,CCC,10001,T, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-16.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.25
M,S,CCC,10001,T, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,32324.75,0.0,0.0,0.0,0.0,0.0,32324.75,0.0,0.0,0.0,32324.75
