A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,CCC,ddd,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,5.19,0.0,0.0,0.0,0.0,0.0,5.19,0.0,0.0,0.0,5.19
G,S,CCC,ddd,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,5.19,0.0,0.0,0.0,0.0,0.0,5.19,0.0,0.0,0.0,5.19
G,S,CCC,ddd,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,40.1,0.0,0.0,0.0,0.0,0.0,40.1,0.0,0.0,0.0,40.1
G,S,CCC,ddd,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,40.1,0.0,0.0,0.0,0.0,0.0,40.1,0.0,0.0,0.0,40.1
G,S,CCC,ddd,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,23677.52,0.0,0.0,0.0,0.0,0.0,23677.52,0.0,0.0,0.0,23677.52
G,S,CCC,ddd,R,C, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,23677.52,0.0,0.0,0.0,0.0,0.0,23677.52,0.0,0.0,0.0,23677.52
G,S,CCC,ddd,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,26511.57,0.0,0.0,0.0,0.0,0.0,23212.57,2970.0,2700.0,2970.0,23212.57
G,S,CCC,ddd,R,C, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,26511.57,0.0,0.0,0.0,0.0,0.0,23212.57,2970.0,2700.0,2970.0,23212.57
G,S,CCC,ddd,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,14757.56,0.0,0.0,0.0,0.0,0.0,9702.06,5060.0,4600.0,5060.0,9702.06
G,S,CCC,ddd,R,C, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,14757.56,0.0,0.0,0.0,0.0,0.0,9702.06,5060.0,4600.0,5060.0,9702.06
G,S,CCC,ddd,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,41909.66,0.0,0.0,0.0,0.0,0.0,41909.66,0.0,0.0,0.0,41909.66
G,S,CCC,ddd,R,C, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,41909.66,0.0,0.0,0.0,0.0,0.0,41909.66,0.0,0.0,0.0,41909.66
G,S,CCC,ddd,R,C, ,0,0, ,7, , ,VI,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,5995.96,0.0,0.0,0.0,0.0,0.0,5995.96,0.0,0.0,0.0,5995.96
G,S,CCC,ddd,R,C, ,0,0, ,0, , ,VI,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,5995.96,0.0,0.0,0.0,0.0,0.0,5995.96,0.0,0.0,0.0,5995.96
G,S,CCC,ddd,R,C, ,0,0, ,7, , ,SZ,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,44033.32,0.0,0.0,0.0,0.0,0.0,35354.47,8910.0,8100.0,8910.0,35354.47
G,S,CCC,ddd,R,C, ,0,0, ,7, , ,SZ,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,94.93,0.0,0.0,0.0,0.0,0.0,94.93,0.0,0.0,0.0,94.93
