A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,CCC,eee,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,9908.26,0.0,0.0,0.0,0.0,0.0,9908.26,0.0,0.0,0.0,9908.26
G,S,CCC,eee,R,C, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,9908.26,0.0,0.0,0.0,0.0,0.0,9908.26,0.0,0.0,0.0,9908.26
G,S,CCC,eee,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,48664.13,0.0,0.0,0.0,0.0,0.0,43608.63,5060.0,4600.0,5060.0,43608.63
G,S,CCC,eee,R,C, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,48664.13,0.0,0.0,0.0,0.0,0.0,43608.63,5060.0,4600.0,5060.0,43608.63
G,S,CCC,eee,R,C, ,0,0, ,7, , ,GM,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0
G,S,CCC,eee,R,C, ,0,0, ,0, , ,GM,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0
G,S,CCC,eee,R,C, ,0,0, ,7, , ,NL,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,72850.68,0.0,0.0,0.0,0.0,0.0,70073.62,2228.0,2025.0,2228.0,70073.62
G,S,CCC,eee,R,C, ,0,0, ,0, , ,NL,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,72850.68,0.0,0.0,0.0,0.0,0.0,70073.62,2228.0,2025.0,2228.0,70073.62
G,S,CCC,eee,D,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02
G,S,CCC,eee,D,C, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02
G,S,CCC,eee,R,C, ,0,0, ,7, , ,UK,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,21684.83,0.0,0.0,0.0,0.0,0.0,21190.33,682.0,620.0,682.0,21190.33
G,S,CCC,eee,R,C, ,0,0, ,0, , ,UK,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,21684.83,0.0,0.0,0.0,0.0,0.0,21190.33,682.0,620.0,682.0,21190.33
G,S,CCC,eee,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,38587.7,0.0,0.0,0.0,0.0,0.0,17513.85,21560.0,19600.0,21560.0,17513.85
G,S,CCC,eee,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,19843.64,0.0,0.0,0.0,0.0,0.0,4705.71,15351.56,12281.19,15351.56,4705.71
G,S,CCC,eee,R,C, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,58431.34,0.0,0.0,0.0,0.0,0.0,22219.56,36911.56,31881.19,36911.56,22219.56
G,S,CCC,eee,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0
G,S,CCC,eee,R,C, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0
G,S,CCC,eee,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,288384.22,0.0,0.0,0.0,0.0,0.0,275989.22,12650.0,11500.0,12650.0,275989.22
G,S,CCC,eee,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,19843.64,0.0,0.0,0.0,0.0,0.0,4705.71,15351.56,12281.19,15351.56,4705.71
G,S,CCC,eee,R,C, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,308227.86,0.0,0.0,0.0,0.0,0.0,280694.93,28001.56,23781.19,28001.56,280694.93
G,S,CCC,eee,R,C, ,0,0, ,7, , ,RU,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,11346.6,0.0,0.0,0.0,0.0,0.0,11346.6,0.0,0.0,0.0,11346.6
G,S,CCC,eee,R,C, ,0,0, ,0, , ,RU,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,11346.6,0.0,0.0,0.0,0.0,0.0,11346.6,0.0,0.0,0.0,11346.6
G,S,CCC,eee,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,9037.5,0.0,0.0,0.0,0.0,0.0,9037.5,0.0,0.0,0.0,9037.5
G,S,CCC,eee,R,C, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,9037.5,0.0,0.0,0.0,0.0,0.0,9037.5,0.0,0.0,0.0,9037.5
G,S,CCC,eee,D,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-262223.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-262223.4
G,S,CCC,eee,D,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,5295.0,0.0,0.0,0.0,0.0,0.0,5295.0,0.0,0.0,0.0,5295.0
G,S,CCC,eee,D,C, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-256928.4,0.0,0.0,0.0,0.0,0.0,5295.0,0.0,0.0,0.0,-256928.4
G,S,CCC,eee,R,C, ,0,0, ,7, , ,GM,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,29.65,0.0,0.0,0.0,0.0,0.0,29.65,0.0,0.0,0.0,29.65
G,S,CCC,eee,R,C, ,0,0, ,0, , ,GM,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,29.65,0.0,0.0,0.0,0.0,0.0,29.65,0.0,0.0,0.0,29.65
G,S,CCC,eee,R,C, ,0,0, ,7, , ,CY,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,11335.89,0.0,0.0,0.0,0.0,0.0,2273.89,9350.0,8500.0,9350.0,2273.89
G,S,CCC,eee,R,C, ,0,0, ,0, , ,CY,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,11335.89,0.0,0.0,0.0,0.0,0.0,2273.89,9350.0,8500.0,9350.0,2273.89
G,S,CCC,eee,R,C, ,0,0, ,7, , ,GM,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,56178.37,0.0,0.0,0.0,0.0,0.0,49650.37,5940.0,5400.0,5940.0,49650.37
G,S,CCC,eee,R,C, ,0,0, ,7, , ,GM,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,119.59,0.0,0.0,0.0,0.0,0.0,119.59,0.0,0.0,0.0,119.59
G,S,CCC,eee,R,C, ,0,0, ,0, , ,GM,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,56297.96,0.0,0.0,0.0,0.0,0.0,49769.96,5940.0,5400.0,5940.0,49769.96
G,S,CCC,eee,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,13189.39,0.0,0.0,0.0,0.0,0.0,10661.64,2530.0,2300.0,2530.0,10661.64
G,S,CCC,eee,R,C, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,13189.39,0.0,0.0,0.0,0.0,0.0,10661.64,2530.0,2300.0,2530.0,10661.64
G,S,CCC,eee,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,193.08,0.0,0.0,0.0,0.0,0.0,193.08,0.0,0.0,0.0,193.08
G,S,CCC,eee,R,C, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,193.08,0.0,0.0,0.0,0.0,0.0,193.08,0.0,0.0,0.0,193.08
G,S,CCC,eee,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,8112.32,0.0,0.0,0.0,0.0,0.0,8112.32,0.0,0.0,0.0,8112.32
G,S,CCC,eee,R,C, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,8112.32,0.0,0.0,0.0,0.0,0.0,8112.32,0.0,0.0,0.0,8112.32
G,S,CCC,eee,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,64657.27,0.0,0.0,0.0,0.0,0.0,49450.42,14850.0,13500.0,14850.0,49450.42
G,S,CCC,eee,R,C, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,64657.27,0.0,0.0,0.0,0.0,0.0,49450.42,14850.0,13500.0,14850.0,49450.42
G,S,CCC,eee,R,H, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,29380.0,0.0,0.0,0.0,0.0,0.0,29380.0,0.0,0.0,0.0,29380.0
G,S,CCC,eee,R,H, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,29380.0,0.0,0.0,0.0,0.0,0.0,29380.0,0.0,0.0,0.0,29380.0
