A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,555,1,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,576.7,0,0,0,0,0,576.7,0,0,0,576.7
G,S,555,1,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,576.7,0,0,0,0,0,576.7,0,0,0,576.7
G,S,609,1,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,19.57,0,0,0,0,0,19.57,0,0,0,19.57
G,S,609,1,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,19.57,0,0,0,0,0,19.57,0,0,0,19.57
G,S,615,1,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,96248.89,0,0,0,0,0,96248.89,0,0,0,96248.89
G,S,615,1,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,96248.89,0,0,0,0,0,96248.89,0,0,0,96248.89
G,S,CCC,1,C, , ,0,0, ,7,D, ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,41687.45,0,0,0,-145,0,23646.45,18041,16414,18041,23646.45
G,S,CCC,1,C, , ,0,0, ,0,D, ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,41687.45,0,0,0,-145,0,23646.45,18041,16414,18041,23646.45
G,S,CCC,1,H,C, ,0,0, ,7, ,I,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,230189.74,0,0,11175,-173475,0,0,652526,607960,652526,-646885.01
G,S,CCC,1,H,C, ,0,0, ,0, ,I,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,230189.74,0,0,11175,-173475,0,0,652526,607960,652526,-646885.01
G,S,172,2,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,0,0,0,0,0,0,0,0,0,0,0
G,S,172,2,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,0,0,0,0,0,0,0,0,0,0,0
G,S,609,2,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,16.25,0,0,0,0,0,16.25,0,0,0,16.25
G,S,609,2,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,16.25,0,0,0,0,0,16.25,0,0,0,16.25
G,S,CCC,2,C, , ,0,0, ,7,D, ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,42461.19,0,0,0,-165,0,11357.19,31104,28291,31104,11357.19
G,S,CCC,2,C, , ,0,0, ,0,D, ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,42461.19,0,0,0,-165,0,11357.19,31104,28291,31104,11357.19
G,S,CCC,2,H,C, ,0,0, ,7, ,I,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-66854.61,0,0,126790,-126260,0,0,239023,217245,239023,-62140.11
G,S,CCC,2,H,C, ,0,0, ,0, ,I,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-66854.61,0,0,126790,-126260,0,0,239023,217245,239023,-62140.11
G,S,615,3,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,4501.95,0,0,0,0,0,1374.45,2888,2625,2888,1374.45
G,S,615,3,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,4501.95,0,0,0,0,0,1374.45,2888,2625,2888,1374.45
G,S,CCC,3,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,17759.68,0,0,0,0,0,17759.68,0,0,0,17759.68
G,S,CCC,3,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,17759.68,0,0,0,0,0,17759.68,0,0,0,17759.68
G,S,CCC,4,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,11885.49,0,0,0,0,0,11885.49,0,0,0,11885.49
G,S,CCC,4,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,11885.49,0,0,0,0,0,11885.49,0,0,0,11885.49
G,S,172,5,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,112.81,0,0,0,0,0,112.81,0,0,0,112.81
G,S,172,5,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,112.81,0,0,0,0,0,112.81,0,0,0,112.81
G,S,CCC,5,C, , ,0,0, ,7,D, ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,42082.46,0,0,0,-165,0,10978.46,31104,28291,31104,10978.46
G,S,CCC,5,C, , ,0,0, ,0,D, ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,42082.46,0,0,0,-165,0,10978.46,31104,28291,31104,10978.46
G,S,CCC,6,C, , ,0,0, ,7,D, ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,62028.04,0,0,0,-217.5,0,34967.54,27060.5,24620.5,27060.5,34967.54
G,S,CCC,6,C, , ,0,0, ,0,D, ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,62028.04,0,0,0,-217.5,0,34967.54,27060.5,24620.5,27060.5,34967.54
G,S,172,7,C, , ,0,0, ,7,D, ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,56572.16,0,0,0,-217.5,0,29511.66,27060.5,24620.5,27060.5,29511.66
